KEGGPathID	Length	Genes
map00730:Thiamine metabolism	11	SE16__01815;SE16__00975;SE16__01695;SE16__01232;SE16__01813;SE16__01425;SE16__01816;SE16__00872;SE16__01426;SE16__00883;SE16__00977;SE16__01235;SE16__00762;SE16__01455;SE16__00113;SE16__01814
map00740:Riboflavin metabolism	7	SE16__01958;SE16__01956;SE16__00927;SE16__01976;SE16__01388;SE16__01957;SE16__00851;SE16__01023;SE16__01634;SE16__02166
map00750:Vitamin B6 metabolism	3	SE16__00389;SE16__02134;SE16__02279;SE16__02278
map00760:Nicotinate and nicotinamide metabolism	8	SE16__01107;SE16__00058;SE16__01518;SE16__00563;SE16__01517;SE16__00852;SE16__02256;SE16__00383;SE16__00587;SE16__01754;SE16__01581
map00770:Pantothenate and CoA biosynthesis	12	SE16__01576;SE16__02181;SE16__00445;SE16__00847;SE16__00918;SE16__02183;SE16__01574;SE16__01573;SE16__02182;SE16__00718;SE16__00163;SE16__01798;SE16__01850;SE16__00986
map00780:Biotin metabolism	4	SE16__00224;SE16__00227;SE16__00718;SE16__00226
map00785:Lipoic acid metabolism	2	SE16__00384;SE16__00590;SE16__00786;SE16__00103
map00790:Folate biosynthesis	19	SE16__00261;SE16__00262;SE16__00915;SE16__01697;SE16__01698;SE16__01696;SE16__01702;SE16__02247;SE16__00757;SE16__00259;SE16__02062;SE16__00125;SE16__00278;SE16__02061;SE16__01957;SE16__00695;SE16__01700;SE16__01701;SE16__00639;SE16__00258;SE16__00813;SE16__00635
map00670:One carbon pool by folate	9	SE16__00696;SE16__01834;SE16__01918;SE16__00804;SE16__01440;SE16__00982;SE16__01917;SE16__01920;SE16__00695;SE16__01138
map00860:Porphyrin metabolism	9	SE16__01381;SE16__01994;SE16__00864;SE16__01058;SE16__01860;SE16__01607;SE16__01310;SE16__02089;SE16__01379;SE16__01380;SE16__01307;SE16__01399;SE16__01703;SE16__01483
map00130:Ubiquinone and other terpenoid-quinone biosynthesis	8	SE16__00621;SE16__00970;SE16__01820;SE16__01978;SE16__01945;SE16__01057;SE16__02204;SE16__01859;SE16__00175;SE16__00403
map00900:Terpenoid backbone biosynthesis	5	SE16__02122;SE16__00771;SE16__00732;SE16__00939;SE16__00779
map00902:Monoterpenoid biosynthesis	3	SE16__01256;SE16__01674;SE16__01714
map00904:Diterpenoid biosynthesis	1	SE16__00730
map00906:Carotenoid biosynthesis	1	SE16__01524
map00908:Zeatin biosynthesis	1	SE16__00896
map00903:Limonene degradation	1	SE16__00873;SE16__01765
map00907:Pinene, camphor and geraniol degradation	1	SE16__01585
map01052:Type I polyketide structures	7	SE16__01766;SE16__01231;SE16__00966;SE16__00117;SE16__01738;SE16__01334;SE16__00968;SE16__01807
map00522:Biosynthesis of 12-, 14- and 16-membered macrolides	3	SE16__01766;SE16__01807;SE16__02262
map01051:Biosynthesis of ansamycins	1	SE16__00613
map01059:Biosynthesis of enediyne antibiotics	3	SE16__00118;SE16__00837;SE16__00350
map01057:Biosynthesis of type II polyketide products	4	SE16__00739;SE16__01942;SE16__00434;SE16__00096
map00253:Tetracycline biosynthesis	2	SE16__00739;SE16__01942
map00523:Polyketide sugar unit biosynthesis	2	SE16__01971;SE16__00376
map01054:Nonribosomal peptide structures	2	SE16__00164;SE16__00418
map00950:Isoquinoline alkaloid biosynthesis	1	SE16__00211
map00966:Glucosinolate biosynthesis	1	SE16__00445
map00311:Penicillin and cephalosporin biosynthesis	2	SE16__01088;SE16__00112
map00261:Monobactam biosynthesis	5	SE16__00661;SE16__00660;SE16__00597;SE16__01682;SE16__01610;SE16__01604
map00331:Clavulanic acid biosynthesis	1	SE16__02163
map00524:Neomycin, kanamycin and gentamicin biosynthesis	1	SE16__00778;SE16__02174
map00525:Acarbose and validamycin biosynthesis	1	SE16__01378;SE16__01470
map00401:Novobiocin biosynthesis	1	SE16__00634
map00405:Phenazine biosynthesis	1	SE16__01946;SE16__00260;SE16__00636;SE16__00995
map00998:Biosynthesis of various antibiotics	2	SE16__01884;SE16__00274
map00999:Biosynthesis of various plant secondary metabolites	5	SE16__00849;SE16__01383;SE16__01973;SE16__00439;SE16__00022;SE16__01728
map00997:Biosynthesis of various other secondary metabolites	4	SE16__00731;SE16__01774;SE16__00667;SE16__01773;SE16__01771
map00362:Benzoate degradation	8	SE16__00174;SE16__01222;SE16__00621;SE16__00970;SE16__01820;SE16__01979;SE16__00575;SE16__01003;SE16__00680;SE16__01158;SE16__01578
map00627:Aminobenzoate degradation	6	SE16__01659;SE16__01314;SE16__01979;SE16__00415;SE16__01661;SE16__00362;SE16__00790
map00364:Fluorobenzoate degradation	1	SE16__00174
map00625:Chloroalkane and chloroalkene degradation	1	SE16__00632
map00361:Chlorocyclohexane and chlorobenzene degradation	2	SE16__00174;SE16__01222
map00623:Toluene degradation	3	SE16__00174;SE16__01135;SE16__02165
map00622:Xylene degradation	4	SE16__01222;SE16__01003;SE16__00680;SE16__01158;SE16__01578
map00633:Nitrotoluene degradation	2	SE16__02018;SE16__01159
map00643:Styrene degradation	1	SE16__01222
map00791:Atrazine degradation	4	SE16__01683;SE16__01684;SE16__01685;SE16__01522
map00930:Caprolactam degradation	1	SE16__00404;SE16__00216
map00621:Dioxin degradation	2	SE16__01158;SE16__01578
map00626:Naphthalene degradation	2	SE16__00195;SE16__01650
map00624:Polycyclic aromatic hydrocarbon degradation	1	SE16__00743
map00365:Furfural degradation	1	SE16__01895;SE16__00454
map00984:Steroid degradation	3	SE16__01595;SE16__00919;SE16__01234
map00983:Drug metabolism - other enzymes	6	SE16__01166;SE16__02067;SE16__00729;SE16__00522;SE16__01167;SE16__01741
map03020:RNA polymerase	6	SE16__01746;SE16__00457;SE16__01848;SE16__00987;SE16__00456;SE16__01073
map03010:Ribosome	43	SE16__00461;SE16__00462;SE16__01752;SE16__01730;SE16__01739;SE16__01727;SE16__01747;SE16__01736;SE16__00957;SE16__01723;SE16__01389;SE16__01366;SE16__01722;SE16__01731;SE16__01364;SE16__00974;SE16__01720;SE16__01841;SE16__01046;SE16__00605;SE16__00805;SE16__01100;SE16__01390;SE16__01721;SE16__01735;SE16__00459;SE16__01085;SE16__01719;SE16__01745;SE16__01744;SE16__00606;SE16__01733;SE16__00926;SE16__00960;SE16__01729;SE16__01149;SE16__01724;SE16__00839;SE16__00829;SE16__01726;SE16__01737;SE16__01147;SE16__01734;SE16__01753;SE16__00455
map00970:Aminoacyl-tRNA biosynthesis	16	SE16__01139;SE16__02269;SE16__01393;SE16__02087;SE16__01092;SE16__01349;SE16__00819;SE16__00936;SE16__00469;SE16__00079;SE16__01042;SE16__01350;SE16__01506;SE16__01505;SE16__02060;SE16__00471
map03013:Nucleocytoplasmic transport	1	SE16__00452
map03008:Ribosome biogenesis in eukaryotes	1	SE16__00965
map03060:Protein export	10	SE16__00304;SE16__01668;SE16__00464;SE16__00332;SE16__01740;SE16__00425;SE16__00961;SE16__00963;SE16__01357;SE16__01812;SE16__01282;SE16__01356
map04141:Protein processing in endoplasmic reticulum	1	SE16__00925;SE16__00736;SE16__02069;SE16__00414
map04122:Sulfur relay system	10	SE16__00871;SE16__01695;SE16__01425;SE16__01233;SE16__00915;SE16__01697;SE16__01563;SE16__00872;SE16__01426;SE16__00883;SE16__00787;SE16__00146;SE16__01700;SE16__01701
map03018:RNA degradation	11	SE16__01408;SE16__01258;SE16__00330;SE16__01842;SE16__00269;SE16__01802;SE16__00812;SE16__00895;SE16__00834;SE16__01550;SE16__01253;SE16__00334;SE16__01076;SE16__00924;SE16__01902;SE16__01416
map03030:DNA replication	6	SE16__01510;SE16__00816;SE16__01098;SE16__01148;SE16__00541;SE16__01818;SE16__00702;SE16__00953;SE16__01041
map03410:Base excision repair	8	SE16__00811;SE16__01376;SE16__01510;SE16__01474;SE16__00714;SE16__00111;SE16__02156;SE16__01355;SE16__01400
map03420:Nucleotide excision repair	3	SE16__01510;SE16__01511;SE16__00427;SE16__01035
map03430:Mismatch repair	9	SE16__01510;SE16__01098;SE16__01148;SE16__00541;SE16__01818;SE16__01568;SE16__00773;SE16__00772;SE16__01511;SE16__00427;SE16__01037;SE16__00903;SE16__01355
map03440:Homologous recombination	9	SE16__01098;SE16__01148;SE16__00541;SE16__01818;SE16__01361;SE16__01360;SE16__00914;SE16__00820;SE16__00985;SE16__01207;SE16__01355
map03230:Viral genome structure	2	SE16__00703;SE16__00585;SE16__01008;SE16__02236
map03240:Viral replication	8	SE16__02094;SE16__01084;SE16__00536;SE16__01840;SE16__00585;SE16__01008;SE16__02236;SE16__00456;SE16__01073;SE16__00130;SE16__00207
map03261:Virion - Influenza A virus	1	SE16__00703
map03264:Virion - Flavivirus	1	SE16__00130
map03266:Virion - Herpesvirus	2	SE16__00298;SE16__01161
map03268:Virion - Orthopoxvirus	2	SE16__00456;SE16__01073
map02010:ABC transporters	65	SE16__00697;SE16__00373;SE16__02201;SE16__01275;SE16__00184;SE16__00094;SE16__00650;SE16__00185;SE16__01274;SE16__00008;SE16__02227;SE16__01289;SE16__01828;SE16__00595;SE16__00141;SE16__00016;SE16__00200;SE16__00655;SE16__00410;SE16__00657;SE16__02250;SE16__00370;SE16__01647;SE16__01905;SE16__00654;SE16__00054;SE16__01272;SE16__01297;SE16__01190;SE16__02101;SE16__02228;SE16__01131;SE16__01477;SE16__01476;SE16__00049;SE16__02137;SE16__00056;SE16__00698;SE16__01224;SE16__01114;SE16__02238;SE16__01543;SE16__01225;SE16__01295;SE16__01194;SE16__00034;SE16__01999;SE16__00659;SE16__02267;SE16__00007;SE16__00197;SE16__01118;SE16__00033;SE16__01749;SE16__01748;SE16__00270;SE16__01899;SE16__00669;SE16__01915;SE16__02251;SE16__01692;SE16__00374;SE16__01096;SE16__02253;SE16__00157;SE16__01191;SE16__01892;SE16__01113;SE16__00648;SE16__00210;SE16__00537;SE16__00201;SE16__02021;SE16__01296;SE16__00964;SE16__01916;SE16__00050;SE16__01621;SE16__00810;SE16__02020;SE16__00647;SE16__00057;SE16__01982;SE16__00042;SE16__00268;SE16__00286;SE16__02146;SE16__01718;SE16__01266;SE16__01567;SE16__01112;SE16__01980;SE16__02268;SE16__02237;SE16__01542;SE16__01130;SE16__01768;SE16__01472;SE16__00451;SE16__02138;SE16__00055;SE16__00809;SE16__01619;SE16__00287;SE16__00285;SE16__02252;SE16__00198
map02060:Phosphotransferase system (PTS)	11	SE16__02100;SE16__02222;SE16__01762;SE16__01111;SE16__00691;SE16__01760;SE16__02214;SE16__01327;SE16__01907;SE16__01908;SE16__02230;SE16__02115;SE16__01435;SE16__02162;SE16__00246
map03070:Bacterial secretion system	9	SE16__00304;SE16__01668;SE16__00464;SE16__00332;SE16__01740;SE16__00961;SE16__00963;SE16__01357;SE16__01812;SE16__01282;SE16__01356
map02020:Two-component system	54	SE16__01411;SE16__01904;SE16__01832;SE16__01049;SE16__00657;SE16__01058;SE16__01099;SE16__00796;SE16__00392;SE16__00394;SE16__02023;SE16__00738;SE16__00412;SE16__02070;SE16__00684;SE16__01491;SE16__00878;SE16__01947;SE16__02210;SE16__01276;SE16__00235;SE16__02157;SE16__00744;SE16__01967;SE16__02118;SE16__01106;SE16__01930;SE16__02117;SE16__01689;SE16__01911;SE16__01617;SE16__01169;SE16__00628;SE16__01303;SE16__00588;SE16__00472;SE16__00017;SE16__00615;SE16__01831;SE16__00018;SE16__01556;SE16__00406;SE16__00209;SE16__01312;SE16__01311;SE16__01295;SE16__01315;SE16__01322;SE16__02142;SE16__01316;SE16__00685;SE16__00746;SE16__01343;SE16__00036;SE16__00252;SE16__01403;SE16__00197;SE16__01492;SE16__02155;SE16__01538;SE16__02217;SE16__01711;SE16__01555;SE16__01090;SE16__00095;SE16__00626;SE16__01118;SE16__00033;SE16__01129;SE16__01079;SE16__01557;SE16__02266;SE16__01342;SE16__00393;SE16__00629;SE16__00745;SE16__02010;SE16__01490;SE16__01317;SE16__01278;SE16__00877;SE16__01558;SE16__01623;SE16__01091;SE16__01080;SE16__01852;SE16__01622;SE16__01402;SE16__01567;SE16__01112;SE16__01980;SE16__00251;SE16__01619;SE16__01836
map04013:MAPK signaling pathway - fly	1	SE16__00807
map04016:MAPK signaling pathway - plant	2	SE16__00729;SE16__00604
map04011:MAPK signaling pathway - yeast	1	SE16__00604
map04370:VEGF signaling pathway	1	SE16__01504;SE16__00276
map04371:Apelin signaling pathway	1	SE16__01504;SE16__00276
map04066:HIF-1 signaling pathway	7	SE16__02177;SE16__00326;SE16__01397;SE16__00154;SE16__01408;SE16__00327;SE16__01586;SE16__00330
map04068:FoxO signaling pathway	2	SE16__00604;SE16__00807
map04020:Calcium signaling pathway	1	SE16__01504;SE16__00276
map04072:Phospholipase D signaling pathway	1	SE16__01504;SE16__00276
map04071:Sphingolipid signaling pathway	2	SE16__01504;SE16__00276;SE16__00654;SE16__00054
map04152:AMPK signaling pathway	1	SE16__01408
map04061:Viral protein interaction with cytokine and cytokine receptor	2	SE16__00784;SE16__01161
map04146:Peroxisome	2	SE16__00604;SE16__00807
map04140:Autophagy - animal	1	SE16__00925;SE16__00736;SE16__02069;SE16__00414
map04138:Autophagy - yeast	1	SE16__00925;SE16__00736;SE16__02069;SE16__00414
map04112:Cell cycle - Caulobacter	7	SE16__01099;SE16__00816;SE16__01011;SE16__01385;SE16__00828;SE16__01060;SE16__01785;SE16__01013;SE16__02105;SE16__01259
map04210:Apoptosis	1	SE16__00925;SE16__00736;SE16__02069;SE16__00414
map02024:Quorum sensing	29	SE16__01759;SE16__00697;SE16__00373;SE16__02201;SE16__00199;SE16__02264;SE16__00649;SE16__02265;SE16__01890;SE16__00182;SE16__01306;SE16__00592;SE16__00304;SE16__01668;SE16__00464;SE16__00332;SE16__01740;SE16__00961;SE16__00963;SE16__01357;SE16__01812;SE16__01282;SE16__00895;SE16__01854;SE16__01947;SE16__02210;SE16__01276;SE16__00235;SE16__02157;SE16__00744;SE16__01967;SE16__02118;SE16__01106;SE16__01930;SE16__02117;SE16__01689;SE16__01911;SE16__01617;SE16__01169;SE16__00628;SE16__01303;SE16__00588;SE16__00472;SE16__00017;SE16__00615;SE16__01831;SE16__00018;SE16__01556;SE16__00067;SE16__01999;SE16__01237;SE16__01356;SE16__01946;SE16__00260;SE16__00636;SE16__00995;SE16__00799;SE16__00745;SE16__01373;SE16__01489;SE16__00228;SE16__01024;SE16__01025;SE16__01026;SE16__01027;SE16__01651;SE16__02284;SE16__01678;SE16__00069;SE16__00027;SE16__01704;SE16__01619;SE16__00798
map05111:Biofilm formation - Vibrio cholerae	5	SE16__01832;SE16__01111;SE16__00691;SE16__00895;SE16__01854;SE16__02176;SE16__02119
map02025:Biofilm formation - Pseudomonas aeruginosa	3	SE16__00035;SE16__02206;SE16__02011;SE16__00430;SE16__00681;SE16__01197;SE16__01539;SE16__00331;SE16__00107;SE16__00510;SE16__00297
map02026:Biofilm formation - Escherichia coli	3	SE16__01111;SE16__00691;SE16__01854;SE16__00684
map02030:Bacterial chemotaxis	1	SE16__01342
map02040:Flagellar assembly	3	SE16__01656;SE16__00181;SE16__00815
map04621:NOD-like receptor signaling pathway	1	SE16__01036;SE16__00363;SE16__01449
map04666:Fc gamma R-mediated phagocytosis	1	SE16__01504;SE16__00276
map04922:Glucagon signaling pathway	4	SE16__02177;SE16__00154;SE16__01408;SE16__01407
map03320:PPAR signaling pathway	1	SE16__00899
map04918:Thyroid hormone synthesis	1	SE16__00894;SE16__01611
map04919:Thyroid hormone signaling pathway	1	SE16__01408
map04976:Bile secretion	1	SE16__01272
map04977:Vitamin digestion and absorption	1	SE16__00654;SE16__00054
map04978:Mineral absorption	1	SE16__02242;SE16__02133;SE16__02241
map04724:Glutamatergic synapse	1	SE16__01160
map04721:Synaptic vesicle cycle	1	SE16__01160
map04211:Longevity regulating pathway	2	SE16__00604;SE16__00807
map04212:Longevity regulating pathway - worm	4	SE16__00604;SE16__00834;SE16__01550;SE16__00807
map04213:Longevity regulating pathway - multiple species	2	SE16__00604;SE16__00807
map04714:Thermogenesis	2	SE16__01824;SE16__01058
map04626:Plant-pathogen interaction	1	SE16__00899
map05200:Pathways in cancer	1	SE16__02013
map05206:MicroRNAs in cancer	1	SE16__00654;SE16__00054
map05205:Proteoglycans in cancer	1	SE16__00965
map05208:Chemical carcinogenesis - reactive oxygen species	3	SE16__01824;SE16__00604;SE16__00807
map05203:Viral carcinogenesis	2	SE16__01407;SE16__00913;SE16__01553
map05230:Central carbon metabolism in cancer	5	SE16__02177;SE16__00758;SE16__00154;SE16__01408;SE16__01407
map05211:Renal cell carcinoma	1	SE16__02013
map05161:Hepatitis B	1	SE16__00585;SE16__01008;SE16__02236
map05160:Hepatitis C	1	SE16__00925;SE16__00736;SE16__02069;SE16__00414
map05164:Influenza A	2	SE16__00925;SE16__00736;SE16__02069;SE16__00414;SE16__00703
map05162:Measles	1	SE16__00925;SE16__00736;SE16__02069;SE16__00414
map05168:Herpes simplex virus 1 infection	6	SE16__00925;SE16__00736;SE16__02069;SE16__00414;SE16__00298;SE16__01549;SE16__00978;SE16__00682;SE16__01337;SE16__00551
map05163:Human cytomegalovirus infection	1	SE16__00784
map05167:Kaposi sarcoma-associated herpesvirus infection	1	SE16__00913;SE16__01553
map05165:Human papillomavirus infection	2	SE16__01407;SE16__01507
map05130:Pathogenic Escherichia coli infection	3	SE16__00326;SE16__01397;SE16__00110;SE16__01016
map05132:Salmonella infection	3	SE16__00326;SE16__01397;SE16__01036;SE16__00363;SE16__01449;SE16__00160
map05134:Legionellosis	2	SE16__00452;SE16__01550
map05150:Staphylococcus aureus infection	8	SE16__01645;SE16__00392;SE16__00394;SE16__00393;SE16__01124;SE16__00229;SE16__02248;SE16__00629;SE16__01567;SE16__01112
map05152:Tuberculosis	5	SE16__00657;SE16__00834;SE16__01550;SE16__01504;SE16__00276;SE16__00500
map05100:Bacterial invasion of epithelial cells	2	SE16__01939;SE16__00160
map05140:Leishmaniasis	1	SE16__00452
map05340:Primary immunodeficiency	1	SE16__00111
map05010:Alzheimer disease	3	SE16__00326;SE16__01397;SE16__01824;SE16__00925;SE16__00736;SE16__02069;SE16__00414
map05012:Parkinson disease	4	SE16__01824;SE16__00925;SE16__00736;SE16__02069;SE16__00414;SE16__01036;SE16__00363;SE16__01449;SE16__01481
map05014:Amyotrophic lateral sclerosis	4	SE16__00894;SE16__01611;SE16__01824;SE16__00925;SE16__00736;SE16__02069;SE16__00414;SE16__00604
map05016:Huntington disease	4	SE16__00894;SE16__01611;SE16__01824;SE16__00807;SE16__01160
map05020:Prion disease	2	SE16__01824;SE16__00925;SE16__00736;SE16__02069;SE16__00414
map05022:Pathways of neurodegeneration - multiple diseases	5	SE16__00894;SE16__01611;SE16__01824;SE16__00925;SE16__00736;SE16__02069;SE16__00414;SE16__00604;SE16__01481
map05417:Lipid and atherosclerosis	3	SE16__00925;SE16__00736;SE16__02069;SE16__00414;SE16__01550;SE16__00807
map05418:Fluid shear stress and atherosclerosis	2	SE16__00422;SE16__01036;SE16__00363;SE16__01449
map05415:Diabetic cardiomyopathy	5	SE16__00758;SE16__00326;SE16__01397;SE16__00154;SE16__01871;SE16__01824
map04930:Type II diabetes mellitus	1	SE16__01407
map04940:Type I diabetes mellitus	1	SE16__01550
map04932:Non-alcoholic fatty liver disease	1	SE16__00925;SE16__00736;SE16__02069;SE16__00414
map04931:Insulin resistance	1	SE16__01871
map04934:Cushing syndrome	1	SE16__02013
map01501:beta-Lactam resistance	5	SE16__01527;SE16__00712;SE16__01529;SE16__01283;SE16__01528
map01502:Vancomycin resistance	6	SE16__00581;SE16__01797;SE16__01803;SE16__01498;SE16__01445;SE16__02107;SE16__02010;SE16__01490;SE16__01317;SE16__01278;SE16__00877;SE16__01558;SE16__01623;SE16__01091;SE16__01852
map01503:Cationic antimicrobial peptide (CAMP) resistance	12	SE16__01645;SE16__01351;SE16__00483;SE16__00392;SE16__00394;SE16__02023;SE16__02070;SE16__01919;SE16__00393;SE16__00629;SE16__01402;SE16__01567;SE16__01112;SE16__02268
map01524:Platinum drug resistance	1	SE16__01272
map01523:Antifolate resistance	6	SE16__00696;SE16__01834;SE16__01918;SE16__00654;SE16__00054;SE16__01272;SE16__01917;SE16__01920
